N,adept,adolc,baseline,cppad,fastad,sacado,stan
1,118.26,3627.94,1.8698700000000001,335.436,8.1141,105.141,164.51
2,122.42399999999999,3644.24,2.66026,377.597,10.3262,154.369,170.58900000000003
4,128.781,3770.98,2.39373,570.373,8.23897,235.44400000000002,181.77599999999998
8,145.71,4110.6,3.44654,729.97,8.4592,422.542,198.357
16,176.717,4361.95,3.7141900000000003,987.949,10.1727,768.966,257.931
32,240.72400000000002,4992.92,5.723730000000001,1418.28,14.5031,1454.87,394.564
64,368.245,6162.64,7.62437,2473.76,23.7937,3005.73,653.8009999999999
128,636.289,8680.97,13.4276,4602.34,43.4054,7020.08,1177.47
256,1153.82,13879.6,27.509,9066.62,89.2677,15446.4,2281.22
512,2229.28,24390.1,53.6217,17286.9,182.387,31812.8,4905.1
1024,4304.51,45243.6,122.84,35310.8,357.337,73077.5,10644.3
2048,8495.8,86938.3,260.725,72994.7,733.8589999999999,144310.0,20301.5
4096,16904.0,172685.0,532.594,140125.0,1585.49,315087.0,40112.0
8192,35022.9,420958.0,1080.4,283313.0,3239.1,627876.0,87310.3
16384,71005.7,677653.0,2167.96,576594.0,6546.51,1829890.0,173291.0
